id,block_num,block_timestamp,extrinsic_index,call_module_function,call_module,nonce,extrinsic_hash,success,fee,fee_used,tip,finalized,account_display,params
1335321900002,13353219,1765960800,13353219-2,bond,nominationpools,20,0x0a8aaa295e89933362c1bea8c09c79932aba2363ca373ba62b1435b7aa7bafa5,True,2646285122,2547862122,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 14}, {'name': 'amount', 'type': 'pallet_nomination_pools:types:BondValue', 'type_name': 'BondValueOf', 'value': {'Amount': '6806375188463410271'}}]"
1241498800002,12414988,1760323074,12414988-2,withdraw_unbonded,nominationpools,19,0xaff6ef0565a993aca02f5c18ef22c2de07c749860eed06e528458aa74bee9643,True,1073526282,1073526282,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 13}, {'name': 'member_account', 'type': 'sp_runtime:multiaddress:MultiAddress', 'type_name': 'AccountIdLookupOf', 'value': {'Id': '0x8c0a46dcb2070c915054d17f97bd06f3cba46d292d4a8dc2592e335108967827'}}, {'name': 'num_slashing_spans', 'type': 'U32', 'type_name': 'u32', 'value': 0}]"
1167141300002,11671413,1755861306,11671413-2,unbond,nominationpools,18,0x1a8a1dacc0948cf72255c8623aca33bbf3682ed5be6249fe67b68fd05a149254,True,2579409146,2579409146,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 13}, {'name': 'member_account', 'type': 'sp_runtime:multiaddress:MultiAddress', 'type_name': 'AccountIdLookupOf', 'value': {'Id': '0x8c0a46dcb2070c915054d17f97bd06f3cba46d292d4a8dc2592e335108967827'}}, {'name': 'unbonding_points', 'type': 'compact<U128>', 'type_name': 'BalanceOf', 'value': '1'}]"
981890000002,9818900,1744734378,9818900-2,bond,nominationpools,16,0x170498d5cb0862103ff79ee588b7e0de3f2c5604e4d56ca172a2970d7bd03d77,False,2186118123,2186118123,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 23}, {'name': 'amount', 'type': 'pallet_nomination_pools:types:BondValue', 'type_name': 'BondValueOf', 'value': {'Amount': '2597671022184668301265'}}]"
981888900002,9818889,1744734312,9818889-2,bond,nominationpools,15,0xc4ccefb8e20f02d5200d49df162426e001f1863ddd6062364a41c8b549cd4dab,False,2186118123,2186118123,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 23}, {'name': 'amount', 'type': 'pallet_nomination_pools:types:BondValue', 'type_name': 'BondValueOf', 'value': {'Amount': '2597671022184668301265'}}]"
981887700002,9818877,1744734240,9818877-2,bond,nominationpools,14,0xa92e53216228deb644110c1e743295bb393a70a6709a92d7b598d1e6a89fdd8f,True,2186118123,2186118123,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 23}, {'name': 'amount', 'type': 'pallet_nomination_pools:types:BondValue', 'type_name': 'BondValueOf', 'value': {'Amount': '2597671022184668301265'}}]"
981883100002,9818831,1744733964,9818831-2,bond,nominationpools,13,0x77005196a5baa0240a0cc579e70272c722167061c0e35fea261f202dfdc9c046,True,2186118122,2186118122,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 21}, {'name': 'amount', 'type': 'pallet_nomination_pools:types:BondValue', 'type_name': 'BondValueOf', 'value': {'Amount': '6191687125721500842'}}]"
981882600002,9818826,1744733934,9818826-2,bond,nominationpools,12,0x57c7a3ca5cce8db391da9d299f32be697456f8fbff97da6a7dbc49d5c2dfb782,True,2186118122,2186118122,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 18}, {'name': 'amount', 'type': 'pallet_nomination_pools:types:BondValue', 'type_name': 'BondValueOf', 'value': {'Amount': '1053216042624734670'}}]"
981882000002,9818820,1744733898,9818820-2,bond,nominationpools,11,0x1fd82e3fe5e4d8bf23668046062f22545a7ef29a46a11fe788195715cdfa8e6f,True,2186118122,2186118122,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 18}, {'name': 'amount', 'type': 'pallet_nomination_pools:types:BondValue', 'type_name': 'BondValueOf', 'value': {'Amount': '7562960764200466857'}}]"
981881500002,9818815,1744733868,9818815-2,bond,nominationpools,10,0x94c1beec662400dd1a4c34dbaea7ffedf7c0f099984ca73e06c3d9a4e80a54ba,True,2186118123,2186118123,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 18}, {'name': 'amount', 'type': 'pallet_nomination_pools:types:BondValue', 'type_name': 'BondValueOf', 'value': {'Amount': '54308302576070551497'}}]"
981880900002,9818809,1744733832,9818809-2,bond,nominationpools,9,0x1225a2d9ba4f30d0cb26e64977f8d8b63177864b2b3c142a0308acbc252bff3e,True,2186118123,2186118123,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 18}, {'name': 'amount', 'type': 'pallet_nomination_pools:types:BondValue', 'type_name': 'BondValueOf', 'value': {'Amount': '389978451647544940993'}}]"
981880400002,9818804,1744733802,9818804-2,bond,nominationpools,8,0xd86fe5fe124abb3874b7b6bce91cc450ad2acb3e9f813c004aabe981e79c0141,True,2186118123,2186118123,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 18}, {'name': 'amount', 'type': 'pallet_nomination_pools:types:BondValue', 'type_name': 'BondValueOf', 'value': {'Amount': '2800367264957159455769'}}]"
981879900002,9818799,1744733772,9818799-2,bond,nominationpools,7,0x725bcf9e0550481427aeb8c24439fc8b8ed0352a4cb03d52d1259fd713f4a24f,True,2186118122,2186118122,0,True,{'address': 'enDr55GTVDWok78KBZgt5N86WNEy55bmMMeC9JsKAaPtiQnct'},"[{'name': 'pool_id', 'type': 'U32', 'type_name': 'PoolId', 'value': 17}, {'name': 'amount', 'type': 'pallet_nomination_pools:types:BondValue', 'type_name': 'BondValueOf', 'value': {'Amount': '2895257869874929146'}}]"
